seed,episode,method,reward,delay,energy,completion_ratio,violation_ratio,total_tasks,actions_taken,collab_rate
42,30,wo_md,-48.660594881684446,4.531512629592744,0.33454685857570066,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,30,wo_tp,-103.63898682171444,4.599762517402109,5.7641361647693365,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,30,wo_co,-48.92241982659855,4.526425392799476,0.365816589860379,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,31,cotop,-48.298918637606214,4.4711628666293945,0.35872899713122636,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,31,local,-44.37998828321629,4.1255253162614185,0.312473512060211,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,31,greedy,-89.73601981715498,4.414901164093495,4.558700817622003,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,31,wo_md,-48.5307357793829,4.561354680097027,0.2917188978412623,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,31,wo_tp,-98.70861960960195,4.373482113605741,5.497379847354454,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,31,wo_co,-49.076840059195014,4.595313483762544,0.31237052215695776,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,32,cotop,-49.64240772222428,4.698407090988736,0.26583368123369155,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,32,local,-54.8624285054063,5.14386137635527,0.3423814741853609,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,32,greedy,-88.231631913925,4.331907847572882,4.49125534381962,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,32,wo_md,-47.5482844159812,4.4554202770902585,0.29940816450785906,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,32,wo_tp,-95.09513758467392,4.194608809350613,5.314904949116778,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,32,wo_co,-50.21851001948489,4.695549639202267,0.32630136274622223,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,33,cotop,-45.89133956489346,4.2620359311523215,0.32709802533702437,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,33,local,-45.16490922538797,4.203580214650221,0.3129107078885752,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,33,greedy,-85.22996312516803,4.275518158756336,4.247478153760466,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,33,wo_md,-47.289460584925784,4.369707681155575,0.3592383773370024,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,33,wo_tp,-101.36812171648987,4.4933353344814595,5.643476837167528,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,33,wo_co,-50.683989893202636,4.777860171674028,0.29053881764623485,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,34,cotop,-49.4725212821674,4.629606399888376,0.3176457283283655,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,34,local,-48.75276695019299,4.552092527378002,0.32318416764129776,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,34,greedy,-99.26196788235059,4.922436528552926,5.003760259682133,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,34,wo_md,-48.97782802843141,4.561166458556192,0.3366163442869498,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,34,wo_tp,-105.28285987427172,4.656958862719119,5.871327124708051,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,34,wo_co,-49.16772965631871,4.582866207495813,0.3339067581360582,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,35,cotop,-53.32705107959197,5.005729967873916,0.3269751400852826,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,35,local,-47.99821619375561,4.4176685711647865,0.3821530482107743,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,35,greedy,-86.47324447585989,4.22633032467658,4.420994122909408,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,35,wo_md,-48.500198145477896,4.566519320038044,0.283500494509747,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,35,wo_tp,-97.93987961920769,4.3393901261828765,5.454597835737891,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
